event_id,agency_id,name
FP9n4cfD,SSA,Leland Dudek
FP9n4cfD,DOGE,Mike Russo
FP9n4cfD,DOGE,Scott Coulter
mrPV8r2V,GSA,Stephen Ehikian
mrPV8r2V,USIP,Nate Cavanaugh
e4rwFTP2,DOI,Katrine Trampe
e4rwFTP2,IRS,Gavin Kliger
jqgpzyra,DOGE,Elon Musk
jqgpzyra,DOGE,Steve Davis
jqgpzyra,OPM,Joe Gebbia
jqgpzyra,OPM,Anthony Armstrong
jqgpzyra,SSA,Aram Moghaddassi
jqgpzyra,HHS,Brad Smith
jqgpzyra,Treasury,Tom Krause
jqgpzyra,DOI,Tyler Hassen
kaxNhRgZ,DOJ,Tarak Makecha
kaxNhRgZ,GSA,Josh Gruenbaum
b3H44hoj,SSA,Leland Dudek
3XxWRrBu,CFPB,Gavin Kliger
3XxWRrBu,USAID,Jeremy Lewin
MXinRonY,CFPB,Gavin Kliger
MXinRonY,CFPB,Jeremy Lewin
MXinRonY,CFPB,Chris Young
MXinRonY,CFPB,Jordan Wick
MXinRonY,HHS,Zach Terrell
MXinRonY,Education,Alexandra Beynon
7a5wZUiM,CFPB,Gavin Kliger
7a5wZUiM,USAID,Jeremy Lewin
32sfy2H5,USAID,Jeremy Lewin
7dbzTENK,DOGE,Ashley Boizelle
7dbzTENK,DOGE,Steve Davis
7dbzTENK,CFPB,Gavin Kliger
7dbzTENK,CFPB,Jeremy Lewin
aaJegvbd,OPM,Noah Peters
aaJegvbd,USAID,Jeremy Lewin
aaJegvbd,CFPB,Gavin Kliger
Q4hkKRZT,DOGE,Jacob Altik
Q4hkKRZT,HUD,Christopher Sweet
